LGU,Population_2015,Latitude,Longitude,Type,pop_source,coord_status
Tacurong City,96000,6.6925,124.6764,city,PROVISIONAL_APPROX,geonames
Isulan,95800,6.6294,124.605,municipality (capital),PROVISIONAL_APPROX,geonames
Lebak,82000,6.6439,124.0658,municipality,PROVISIONAL_APPROX,geonames
Palimbang,78000,6.2106,124.1894,municipality,PROVISIONAL_APPROX,geonames
Lambayong,72000,6.5194,125.0444,municipality,PROVISIONAL_APPROX,geonames
Bagumbayan,67061,6.5119,124.8619,municipality,search,estimate_gap
Kalamansig,62000,6.5519,124.0511,municipality,PROVISIONAL_APPROX,geonames
Esperanza,57000,6.7231,124.5197,municipality,PROVISIONAL_APPROX,geonames
Columbio,49000,6.6964,124.9372,municipality,PROVISIONAL_APPROX,geonames
President Quirino,48000,6.7039,124.7372,municipality,PROVISIONAL_APPROX,geonames
Lutayan,42000,6.62,124.8831,municipality,PROVISIONAL_APPROX,geonames
Sen. Ninoy Aquino,40000,6.4594,124.0892,municipality,PROVISIONAL_APPROX,geonames
