Child LGU,P1 parent,P1 stability,P2 parent,P2 stability,P3 parent,P3 stability
TACURONG CITY,ISULAN,62%,ISULAN,62%,primary,100%
ISULAN,primary,100%,primary,100%,primary,100%
LEBAK,primary,78%,primary,46%,primary,90%
PALIMBANG,primary,53%,primary,44%,primary,53%
LAMBAYONG,primary,72%,BAGUMBAYAN,39%,primary,44%
BAGUMBAYAN,LAMBAYONG,40%,primary,100%,primary,100%
KALAMANSIG,LEBAK,63%,LEBAK,63%,LEBAK,62%
ESPERANZA,ISULAN,53%,ISULAN,53%,primary,100%
COLUMBIO,BAGUMBAYAN,30%,LUTAYAN,62%,LUTAYAN,44%
PRESIDENT QUIRINO,TACURONG CITY,73%,TACURONG CITY,72%,TACURONG CITY,73%
LUTAYAN,COLUMBIO,52%,BAGUMBAYAN,57%,BAGUMBAYAN,59%
SEN. NINOY AQUINO,primary,80%,primary,88%,primary,49%
