Child LGU,P1 parent,P1 stability,P2 parent,P2 stability,P3 parent,P3 stability
BANGA,KORONADAL CITY,60%,KORONADAL CITY,60%,TANTANGAN,48%
KORONADAL CITY,SURALLAH,45%,primary,63%,BANGA,46%
LAKE SEBU,TBOLI,58%,TBOLI,32%,TBOLI,38%
NORALA,KORONADAL CITY,40%,KORONADAL CITY,40%,BANGA,47%
POLOMOLOK,TUPI,44%,TUPI,45%,TUPI,28%
SANTO NINO,SURALLAH,62%,SURALLAH,62%,KORONADAL CITY,41%
SURALLAH,primary,65%,primary,65%,BANGA,77%
TBOLI,TUPI,28%,TUPI,41%,SURALLAH,30%
TAMPAKAN,KORONADAL CITY,61%,KORONADAL CITY,61%,primary,63%
TANTANGAN,KORONADAL CITY,61%,KORONADAL CITY,61%,primary,100%
TUPI,primary,100%,primary,100%,BANGA,37%
GENERAL SANTOS CITY,POLOMOLOK,33%,primary,34%,POLOMOLOK,40%
